,Sentence length,Word Error Rate,Distribution
0,0,0.41472868217054265,1290
1,5,0.4090909090909091,10
2,10,0.40804597701149425,48
3,15,0.321390937829294,229
4,20,0.2835458409228901,338
5,25,0.24761491760624457,411
6,30,0.2935578330893119,420
7,35,0.2647233789411065,459
8,40,0.2686849574266793,386
9,45,0.28027681660899656,418
10,50,0.23984168865435357,390
11,55,0.2376901263212168,370
12,60,0.2354374847672435,378
13,65,0.2674354750137287,315
14,70,0.2557397959183674,265
15,75,0.23718172305545868,238
16,80,0.23173114497850722,203
17,85,0.2160168598524763,152
18,90,0.2767203513909224,107
19,95,0.26795895096921324,68
20,100,0.3699421965317919,14
